@Caption,都道府県別人口と人口増加率,ja,,,,,,
@Creator,総務省統計局,ja,,,,,,
@Date,2010-10-01,,,,,,,
@Language,ja,,,,,,,

@@Title,ja,,,,,,,
都道府県,2000 年の人口,2005 年の人口,2005 年の人口集中地区の人口,2000~2005 年の人口増減率,2010 年の人口,2010 年の人口性比,2010 年の人口密度,2005~2010 年の人口増減率
@@Datatype,,,,,,,,
string,integer,integer,integer,double,integer,double,double,double
@@Unit,ja,,,,,,,
,,,,%,,,/km2,%
@@Baseval,,,,,,,,
,1000,1000,1000,,1000,,,

全国,126926,127768,84331,0.7,128057,94.8,343.4,0.2

北海道,5683,5628,4108,-1.0,5506,89.7,70.2,-2.2
青森,1476,1437,653,-2.6,1373,88.9,142.4,-4.4
岩手,1416,1385,407,-2.2,1330,91.3,87.1,-4.0
宮城,2365,2360,1371,-0.2,2348,94.3,322.3,-0.5
秋田,1189,1146,386,-3.7,1086,88.5,93.3,-5.2
山形,1244,1216,504,-2.2,1169,92.2,125.4,-3.9
福島,2127,2091,806,-1.7,2029,94.3,147.2,-3.0
茨城,2986,2975,1068,-0.4,2970,99.3,487.2,-0.2
栃木,2005,2017,860,0.6,2008,98.6,313.3,-0.4
群馬,2025,2024,801,-0.0,2008,96.9,315.6,-0.8
埼玉,6938,7054,5566,1.7,7195,100.6,1894.2,2.0
千葉,5926,6056,4342,2.2,6216,99.4,1205.5,2.6
東京,12064,12577,12329,4.2,13159,98.0,6015.7,4.6
神奈川,8490,8792,8250,3.6,9048,100.9,3745.4,2.9
新潟,2476,2431,1139,-1.8,2374,93.6,188.7,-2.3
富山,1121,1112,398,-0.8,1093,92.9,257.4,-1.7
石川,1181,1174,573,-0.6,1170,93.4,279.5,-0.4
福井,829,822,333,-0.9,806,93.5,192.4,-1.9
山梨,888,885,305,-0.4,863,95.9,193.3,-2.4
長野,2215,2196,764,-0.8,2152,94.6,158.7,-2.0
岐阜,2108,2107,822,-0.1,2081,93.6,195.9,-1.3
静岡,3767,3792,2216,0.7,3765,97.0,483.9,-0.7
愛知,7043,7255,5480,3.0,7411,99.9,1434.8,2.2
三重,1857,1867,762,0.5,1855,95.0,321.0,-0.7
滋賀,1343,1380,614,2.8,1411,97.6,351.2,2.2
京都,2644,2648,2162,0.1,2636,92.3,571.4,-0.4
大阪,8805,8817,8440,0.1,8865,93.6,4669.7,0.5
兵庫,5551,5591,4198,0.7,5588,91.7,665.6,-0.0
奈良,1443,1421,908,-1.5,1401,90.0,379.5,-1.4
和歌山,1070,1036,408,-3.2,1002,88.8,212.0,-3.3
鳥取,613,607,207,-1.0,589,91.1,167.8,-3.0
島根,762,742,179,-2.5,717,91.6,107.0,-3.3
岡山,1951,1957,856,0.3,1945,92.2,273.5,-0.6
広島,2879,2877,1832,-0.1,2861,93.3,337.4,-0.6
山口,1528,1493,708,-2.3,1451,89.2,237.4,-2.8
徳島,824,810,260,-1.7,785,90.3,189.4,-3.0
香川,1023,1012,330,-1.0,996,93.0,530.7,-1.6
愛媛,1493,1468,748,-1.7,1431,88.8,252.1,-2.5
高知,814,796,341,-2.2,764,88.6,107.6,-4.0
福岡,5016,5050,3525,0.7,5072,89.4,1019.0,0.4
佐賀,877,866,246,-1.2,850,89.0,348.3,-1.9
長崎,1517,1479,688,-2.5,1427,87.5,347.5,-3.5
熊本,1859,1842,805,-0.9,1817,88.5,245.4,-1.3
大分,1221,1210,537,-0.9,1197,89.4,188.7,-1.1
宮崎,1170,1153,512,-1.4,1135,88.5,146.7,-1.5
鹿児島,1786,1753,689,-1.8,1706,87.6,185.7,-2.7
沖縄,1318,1362,893,3.3,1393,96.3,611.9,2.3

